State	Area	Time	Arrival	Address
1	3	1.5	16	Cras St
3	3	1.0	7	Turpis Avenue
1	2	1.0	15	Facilisis Avenue
4	2	0.5	24	8 Dui St
3	3	1.0	26	7 Sed Road
2	3	0.5	24	41 Et Av
2	1	0.5	6	Massa St
5	3	0.5	27	Vivamus Avenue
3	2	1.0	5	Duis St
2	1	1.5	19	Imperdiet Road
4	2	1.0	18	Nonummy St
5	3	2.0	11	Lectus Road
1	2	1.5	20	Enim St
5	3	1.0	14	Nec Av
3	3	2.0	6	9 Arcu Street
4	1	1.5	12	Sociosqu Avenue
3	2	1.0	26	Risus Road
3	1	1.0	19	2 Sollicitudin Av
4	1	0.5	25	Mollis Rd
1	2	1.0	7	Dui St
3	2	0.5	23	2 Dui Street
1	3	0.5	6	66 Ut Road
3	1	0.5	15	Nec Road
2	1	0.5	24	Phasellus Ave
1	1	1.0	17	28 Augue Rd
4	3	1.5	27	Vel Av
1	3	1.0	20	40 Amet Street
2	2	2.0	6	2 Nulla Road
3	3	1.5	6	ApTellus Ave
1	3	1.0	14	9 Nunc Rd
2	1	2.0	5	1 Elit Avenue
2	1	1.5	27	1 Natoque St
2	1	1.0	24	N Street
1	3	1.0	16	5 Ultrices Rd
2	2	0.5	26	7 Metus St
3	2	1.0	12	2 Nih Av
4	1	0.5	8	Rutrum Street
2	1	0.5	6	Porttitor Avenue
3	3	0.5	22	iculus Ave
4	3	0.5	11	Phasellus Rd
3	2	1.0	25	7 Leo Rd
2	2	1.5	14	4 Dictum Street
4	2	1.0	27	4 Proin Avenue
2	3	2.0	8	Turpis Rd
3	3	2.0	15	Facilisis Rd
2	3	1.5	10	Erat Avenue
4	1	1.0	6	Nec Street
2	1	1.0	10	6 Placerat Rd
3	1	0.5	16	9 Egestas Rd
1	3	1.0	13	Curabitur Road
